Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
64,leaky_relu,384,2,0.2,0.0007,100,5.6574907302856445,2.3785480298462853,1.758644938468933,9.779664874076843,0.8499640822410583
64,leaky_relu,192,2,0.1,0.0007,100,5.660690784454346,2.379220625426391,1.7595404386520386,9.767939895391464,0.8498792052268982
32,leaky_relu,256,3,0.1,0.0005,100,5.6690993309021,2.3809870497132275,1.7658262252807617,9.758669137954712,0.8496562242507935
32,relu,256,3,0.2,0.0005,100,5.6722917556762695,2.3816573548007005,1.7663624286651611,9.749283641576767,0.8495715856552124
32,relu,384,3,0.1,0.0007,100,5.696253299713135,2.3866824882487268,1.7584043741226196,9.742413461208344,0.8489360809326172
32,relu,256,2,0.2,0.0005,100,5.700408935546875,2.387552917852686,1.7719186544418335,9.826713800430298,0.8488258719444275
64,relu,192,2,0.1,0.0007,100,5.715592861175537,2.3907306124228085,1.7709441184997559,9.818942844867706,0.848423182964325
32,relu,256,2,0.2,0.0007,100,5.716142177581787,2.3908454942931354,1.7576491832733154,9.753400832414627,0.8484086394309998
64,relu,384,2,0.2,0.0007,100,5.7200140953063965,2.3916550953903024,1.7696812152862549,9.821926057338715,0.8483059406280518
32,relu,384,2,0.1,0.0003,100,5.722802639007568,2.3922379979858963,1.7661389112472534,9.789371490478516,0.8482320308685303
32,leaky_relu,192,2,0.1,0.0005,100,5.739117622375488,2.395645554412315,1.7714979648590088,9.901890903711319,0.8477993011474609
32,leaky_relu,384,2,0.2,0.0005,100,5.745565414428711,2.3969909082907908,1.7680858373641968,9.798114746809006,0.8476283550262451
64,leaky_relu,192,2,0.2,0.0007,100,5.747835159301758,2.397464318671241,1.7820818424224854,9.91951897740364,0.847568154335022
32,leaky_relu,256,3,0.1,0.0007,100,5.749729633331299,2.397859385646143,1.7603049278259277,9.82331782579422,0.8475179076194763
64,leaky_relu,256,3,0.2,0.0003,100,5.75304651260376,2.3985509193268673,1.7787646055221558,9.887490421533585,0.8474299311637878
32,relu,384,2,0.2,0.0003,100,5.7661452293396,2.4012799148245088,1.7832897901535034,9.894761443138123,0.8470825552940369
64,relu,192,2,0.2,0.0007,100,5.768215179443359,2.4017108858985003,1.7774324417114258,9.851279109716415,0.8470276594161987
32,leaky_relu,256,2,0.1,0.0007,100,5.772091388702393,2.4025177187072715,1.777835488319397,9.862931817770004,0.846924901008606
32,relu,192,3,0.2,0.0007,100,5.785583972930908,2.405324088959928,1.7888696193695068,9.871695935726166,0.8465670347213745
64,relu,384,3,0.1,0.0007,100,5.792541027069092,2.4067698325907885,1.789467453956604,9.88999828696251,0.8463825583457947
64,relu,384,2,0.2,0.0005,100,5.795361042022705,2.407355611874304,1.7808791399002075,9.865080565214157,0.8463077545166016
32,leaky_relu,384,3,0.1,0.0005,100,5.800899028778076,2.408505559216768,1.772150993347168,9.80488806962967,0.846160888671875
64,relu,192,3,0.1,0.0003,100,5.8018479347229,2.40870254176868,1.7955938577651978,9.859813749790192,0.8461357355117798
32,elu,384,3,0.1,0.0003,100,5.807473659515381,2.409870050337856,1.7856253385543823,10.156341642141342,0.845986545085907
64,relu,256,3,0.2,0.0007,100,5.807668209075928,2.409910415155702,1.7959264516830444,9.927704185247421,0.8459813594818115
64,relu,384,3,0.2,0.0007,100,5.8090972900390625,2.410206897766053,1.7965774536132812,9.942051023244858,0.8459434509277344
64,leaky_relu,384,3,0.1,0.0007,100,5.827341556549072,2.4139887233682495,1.7744758129119873,9.822019189596176,0.8454596400260925
32,relu,256,2,0.1,0.0003,100,5.833180904388428,2.4151979017025558,1.7976499795913696,9.873826801776886,0.8453047871589661
64,leaky_relu,192,2,0.1,0.0003,100,5.8483195304870605,2.4183299052211757,1.8028963804244995,10.042837262153625,0.844903290271759
32,leaky_relu,384,2,0.1,0.0003,100,5.859462738037109,2.420632714402809,1.806640625,10.020113736391068,0.8446078300476074
64,relu,256,2,0.2,0.0005,100,5.863946437835693,2.4215586794120214,1.7825740575790405,9.916643798351288,0.8444888591766357
32,leaky_relu,256,2,0.2,0.0003,100,5.865050315856934,2.421786595853758,1.7858788967132568,9.984090924263,0.8444596529006958
64,leaky_relu,192,2,0.1,0.0005,100,5.865252494812012,2.4218283371890776,1.795725703239441,9.981320798397064,0.844454288482666
32,relu,256,3,0.1,0.0007,100,5.873190402984619,2.423466608596995,1.7948040962219238,9.976331889629364,0.8442437648773193
64,relu,256,2,0.2,0.0007,100,5.873762607574463,2.4235846606987885,1.7986456155776978,9.939484298229218,0.8442285656929016
64,relu,192,3,0.2,0.0007,100,5.878469944000244,2.4245556178401526,1.801943063735962,9.980330616235733,0.8441036939620972
32,leaky_relu,384,2,0.1,0.0007,100,5.889608383178711,2.4268515371111414,1.7943488359451294,10.04468947649002,0.8438083529472351
32,elu,384,3,0.1,0.0007,100,5.88999605178833,2.4269314064860446,1.7962192296981812,10.140559077262878,0.843798041343689
64,relu,192,3,0.2,0.0005,100,5.894439220428467,2.4278466220971344,1.8104089498519897,10.034170001745224,0.843680202960968
64,leaky_relu,384,3,0.1,0.0005,100,5.909816265106201,2.431011366716783,1.7938424348831177,9.992153942584991,0.8432724475860596
64,relu,384,3,0.1,0.0003,100,5.914579391479492,2.431990828823064,1.8088834285736084,9.912972897291183,0.8431460857391357
32,leaky_relu,384,2,0.1,0.0001,100,5.92862606048584,2.434877011367482,1.816672682762146,10.04619374871254,0.8427736163139343
32,relu,384,3,0.2,0.0005,100,5.940916061401367,2.437399446418532,1.8054139614105225,10.001294314861298,0.8424476385116577
32,elu,256,2,0.1,0.0007,100,5.945944309234619,2.4384307062606103,1.8089693784713745,10.2729432284832,0.8423143029212952
64,elu,384,2,0.1,0.0005,100,5.953336238861084,2.4399459499876395,1.8140398263931274,10.327594727277756,0.8421182632446289
32,elu,192,3,0.1,0.0005,100,5.954946041107178,2.4402758125070982,1.8075209856033325,10.29253974556923,0.8420755863189697
32,leaky_relu,192,3,0.2,0.0005,100,5.95537805557251,2.4403643284502645,1.8203222751617432,10.104858130216599,0.8420641422271729
32,elu,256,3,0.1,0.0007,100,5.959561824798584,2.441221379719296,1.8047161102294922,10.219039767980576,0.8419531583786011
32,relu,192,2,0.1,0.0007,100,5.970730304718018,2.443507786915773,1.8233569860458374,10.103292018175125,0.8416569828987122
32,elu,256,3,0.1,0.0003,100,5.984229564666748,2.446268498073494,1.8137969970703125,10.344607383012772,0.8412989974021912
64,relu,192,2,0.1,0.0003,100,6.0013837814331055,2.4497721897011373,1.8302611112594604,10.084164887666702,0.8408440351486206
32,elu,192,2,0.1,0.0005,100,6.011873722076416,2.4519122582336457,1.8294315338134766,10.371217876672745,0.8405658602714539
64,elu,256,3,0.1,0.0005,100,6.025508403778076,2.4546911014989394,1.8242182731628418,10.40179654955864,0.8402042984962463
32,leaky_relu,256,3,0.2,0.0007,100,6.0353546142578125,2.4566958733750117,1.8342640399932861,10.142828524112701,0.8399431705474854
64,elu,192,2,0.1,0.0007,100,6.061934947967529,2.4620997030923686,1.8309800624847412,10.472779721021652,0.8392382860183716
32,relu,384,2,0.2,0.0005,100,6.0707106590271,2.463881218530451,1.8410780429840088,10.172764211893082,0.8390055298805237
64,relu,256,2,0.2,0.0003,100,6.082835674285889,2.4663405430487266,1.8396703004837036,10.253386199474335,0.8386839628219604
32,relu,192,2,0.2,0.0007,100,6.083019256591797,2.4663777603181143,1.8390679359436035,10.207027196884155,0.8386790752410889
64,leaky_relu,256,2,0.2,0.0005,100,6.096039772033691,2.469015952162661,1.8328335285186768,10.233520716428757,0.838333785533905
32,leaky_relu,256,3,0.1,0.0003,100,6.105536937713623,2.4709384730732618,1.847115397453308,10.137074440717697,0.838081955909729
64,leaky_relu,256,2,0.2,0.0007,100,6.126780033111572,2.4752333290240682,1.860640048980713,10.328388959169388,0.837518572807312
