Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
32,relu,256,2,0.1,0.0005,100,5.523928165435791,2.3503038453433613,1.7328981161117554,9.583234786987305,0.8535060882568359
32,relu,192,3,0.2,0.0007,100,5.526763439178467,2.350906939710389,1.7418150901794434,9.586353600025177,0.8534309267997742
64,relu,192,3,0.1,0.0007,100,5.546990394592285,2.3552049580858743,1.7358204126358032,9.592866152524948,0.8528945446014404
32,relu,192,3,0.1,0.0003,100,5.548681735992432,2.3555639953082217,1.7528809309005737,9.670592844486237,0.8528496623039246
64,leaky_relu,256,2,0.2,0.0007,100,5.579037189483643,2.3619985583153182,1.7470266819000244,9.712415933609009,0.8520446419715881
32,leaky_relu,192,3,0.2,0.0005,100,5.584133148193359,2.363077050837183,1.7545077800750732,9.717395156621933,0.8519095182418823
32,relu,256,3,0.1,0.0007,100,5.5931806564331055,2.36499062502013,1.742368459701538,9.65612456202507,0.8516695499420166
32,leaky_relu,192,2,0.1,0.0005,100,5.59993314743042,2.3664177880142847,1.7566756010055542,9.741872549057007,0.8514904975891113
32,relu,256,3,0.2,0.0005,100,5.6099371910095215,2.368530597440008,1.7413010597229004,9.625542908906937,0.8512251973152161
32,leaky_relu,192,2,0.1,0.0007,100,5.618704319000244,2.370380627452107,1.7563586235046387,9.75821316242218,0.8509926795959473
32,leaky_relu,192,3,0.2,0.0007,100,5.625576496124268,2.371829778066771,1.755177617073059,9.704475849866867,0.8508104085922241
64,relu,256,3,0.1,0.0007,100,5.628767967224121,2.3725024693820913,1.7460949420928955,9.640880674123764,0.8507257699966431
64,leaky_relu,192,3,0.1,0.0005,100,5.635446548461914,2.373909549343006,1.7728573083877563,9.771870821714401,0.8505486845970154
64,relu,192,3,0.2,0.0007,100,5.641005516052246,2.3750801072915935,1.7683424949645996,9.701820462942123,0.8504012823104858
32,leaky_relu,192,3,0.1,0.0007,100,5.650831699371338,2.3771478076407737,1.7708358764648438,9.795252978801727,0.8501406908035278
32,relu,256,3,0.2,0.0007,100,5.659327507019043,2.378934111533786,1.763780951499939,9.724685549736023,0.8499153852462769
64,relu,192,3,0.1,0.0005,100,5.664333820343018,2.379986096670108,1.7675844430923462,9.726684540510178,0.8497825860977173
32,leaky_relu,192,2,0.1,0.0003,100,5.669676780700684,2.3811083093174665,1.7629430294036865,9.750846028327942,0.8496409058570862
32,leaky_relu,256,2,0.2,0.0005,100,5.716634273529053,2.39094840461459,1.7727152109146118,9.844963252544403,0.848395586013794
64,leaky_relu,192,3,0.1,0.0007,100,5.720738410949707,2.3918065162027022,1.7612872123718262,9.775874018669128,0.8482867479324341
32,relu,192,2,0.1,0.0003,100,5.722511291503906,2.392177102871756,1.7801196575164795,9.812362492084503,0.8482397198677063
64,relu,256,3,0.1,0.0005,100,5.743140697479248,2.3964850714075494,1.7768014669418335,9.823662042617798,0.847692608833313
32,leaky_relu,256,2,0.1,0.0003,100,5.7479567527771,2.397489677303554,1.7640509605407715,9.815206378698349,0.8475649356842041
32,leaky_relu,256,3,0.1,0.0007,100,5.76200008392334,2.4004166479849576,1.7763686180114746,9.823653101921082,0.8471924662590027
64,leaky_relu,256,3,0.2,0.0005,100,5.762515544891357,2.400524014645835,1.7841174602508545,9.881958365440369,0.8471788167953491
64,leaky_relu,192,2,0.2,0.0007,100,5.764111042022705,2.4008563143226014,1.7691975831985474,9.86325591802597,0.8471364974975586
32,leaky_relu,256,3,0.2,0.0007,100,5.765027046203613,2.4010470728837476,1.7721407413482666,9.804493188858032,0.8471121788024902
32,relu,192,3,0.2,0.0005,100,5.8040385246276855,2.4091572228951112,1.7938339710235596,9.900519251823425,0.8460776209831238
32,leaky_relu,192,2,0.2,0.0005,100,5.812582492828369,2.410929798403174,1.7743308544158936,9.912109375,0.8458510637283325
64,relu,256,3,0.2,0.0005,100,5.815330982208252,2.41149973713626,1.7728536128997803,9.795981645584106,0.8457781672477722
32,relu,192,3,0.1,0.0005,100,5.819411277770996,2.412345596669556,1.791520595550537,9.90673378109932,0.8456699848175049
64,relu,256,2,0.2,0.0005,100,5.829679489135742,2.414472921599193,1.7776156663894653,9.892892092466354,0.8453976511955261
64,relu,256,2,0.2,0.0007,100,5.8605637550354,2.4208601271108994,1.791114091873169,9.986333549022675,0.8445786237716675
32,relu,256,3,0.1,0.0005,100,5.877849102020264,2.4244275823419152,1.803436040878296,9.949786216020584,0.8441202044487
64,leaky_relu,192,3,0.2,0.0007,100,5.877893924713135,2.4244368262986633,1.8047566413879395,9.98939648270607,0.8441190123558044
32,leaky_relu,192,3,0.1,0.0003,100,5.881453037261963,2.4251707233227857,1.804165005683899,10.063492506742477,0.8440245985984802
64,relu,256,3,0.2,0.0007,100,5.88632345199585,2.426174654058493,1.7975687980651855,9.955942630767822,0.843895435333252
64,relu,192,2,0.2,0.0007,100,5.9569549560546875,2.440687394168841,1.8045533895492554,10.012255609035492,0.8420222997665405
32,elu,256,2,0.1,0.0005,100,5.966550350189209,2.442652318728396,1.8210128545761108,10.292503982782364,0.8417678475379944
32,leaky_relu,192,3,0.1,0.0005,100,5.99294376373291,2.448048970860859,1.817147135734558,10.089719295501709,0.841067910194397
64,elu,192,2,0.1,0.0007,100,6.000246524810791,2.4495400639325724,1.8286532163619995,10.382115095853806,0.840874195098877
64,leaky_relu,192,2,0.2,0.0005,100,6.001626491546631,2.4498217264826905,1.8104592561721802,10.103445500135422,0.8408375978469849
32,elu,256,2,0.1,0.0007,100,6.003535270690918,2.4502112706236003,1.8189650774002075,10.333370417356491,0.8407869935035706
32,elu,192,3,0.1,0.0007,100,6.00954532623291,2.4514374000232824,1.8150554895401,10.300496965646744,0.8406276106834412
32,leaky_relu,256,2,0.2,0.0007,100,6.024282455444336,2.454441373397282,1.8257086277008057,10.085044801235199,0.8402367830276489
64,relu,256,2,0.2,0.0003,100,6.025994777679443,2.4547901697862984,1.8297827243804932,10.177291184663773,0.8401913642883301
32,relu,192,2,0.2,0.0007,100,6.0382399559021,2.457283043505998,1.827717900276184,10.156068205833435,0.8398666381835938
