Epochs,Batch Size,Activation,Neurons,Dropout,BatchNorm,L2,Learning Rate,MSE,RMSE,MAE,MAPE,R²
300,64,elu,"(64, 64)",0.1,False,0.0001,0.0005,12.395765215955691,3.520762022056545,2.7663507681472748,0.15022955600364682,0.671265896040927
300,32,selu,"(64, 64)",0.0,False,0.001,0.0005,12.411647280167232,3.5230167868131472,2.7603579091326,0.1510165450077019,0.6708447057346697
400,64,selu,"(64, 32, 16)",0.1,False,0.0,0.0005,12.456650349039203,3.529398015106713,2.781129209250524,0.1518084693442871,0.6696512301191431
400,64,selu,"(128, 128)",0.2,True,0.0,0.001,12.475739091757209,3.532101228979318,2.7624109424135224,0.1508949845794308,0.6691449991101022
300,128,leaky_relu,"(64, 64, 32)",0.1,False,0.0001,0.001,12.481536861395686,3.532921858942777,2.7774895178197063,0.15281801531638864,0.6689912430027654
400,64,elu,"(128, 64)",0.3,True,0.0,0.001,12.501005134502547,3.535676050559857,2.7803970944706498,0.14978194407071793,0.6684749468964808
200,64,elu,"(64, 32, 16)",0.0,False,0.001,0.001,12.5108950946416,3.5370743693964934,2.780820066823899,0.15278906259605052,0.6682126664218299
200,32,selu,"(128, 128)",0.2,True,0.0001,0.0005,12.530005900225051,3.5397748375037996,2.7786460380634175,0.15042619061941623,0.6677058503084266
400,32,elu,"(128, 128)",0.2,True,0.001,0.0005,12.53519672753676,3.5405079759176874,2.78097504749738,0.15138584254118173,0.6675681902337645
300,64,selu,"(128, 64)",0.2,True,0.0,0.001,12.536491880436865,3.5406908761478832,2.7774102872772537,0.15108259756387757,0.6675338429449373
300,32,tanh,"(64, 64, 32)",0.3,False,0.001,0.001,12.542398205003398,3.541524841788265,2.78467595322327,0.15000806364602695,0.667377207974829
300,32,relu,"(64, 32, 16)",0.3,True,0.0001,0.0001,12.548612358045279,3.5424020604732713,2.7877919450995807,0.15022472988171734,0.6672124094330288
400,128,selu,"(64, 64, 32)",0.0,False,0.0,0.001,12.556307411753657,3.543488029012326,2.7779935632861634,0.14836871275046656,0.6670083375954561
200,128,relu,"(64, 32, 16)",0.3,True,0.0001,0.0005,12.571884413745169,3.5456853235651313,2.789198440775681,0.15088898762039873,0.6665952375001545
400,128,leaky_relu,"(64, 32, 16)",0.0,False,0.001,0.0001,12.575493042184123,3.546194163068926,2.778416535639413,0.15043978946817135,0.666499537136705
400,64,selu,"(64, 64, 32)",0.1,False,0.0001,0.001,12.586220529104427,3.5477063758299425,2.806166470125786,0.1520014414981837,0.6662150455592153
300,64,tanh,"(128, 128)",0.1,False,0.0001,0.0001,12.589716715142911,3.5481990805397197,2.7840558257992662,0.15175895378223137,0.6661223271538073
400,32,elu,"(128, 128)",0.2,False,0.0,0.001,12.634378844447106,3.5544871422537323,2.805098188548218,0.15290303386043502,0.6649378932118978
200,64,elu,"(128, 64)",0.2,False,0.0001,0.001,12.66786527589682,3.559194470086851,2.8134458529874213,0.15297873370744797,0.664049837343976
300,128,elu,"(64, 64)",0.3,True,0.0001,0.0005,12.673365892614209,3.559967119597344,2.796465335102201,0.1521329792450169,0.6639039616940012
200,64,selu,"(64, 64, 32)",0.3,True,0.0,0.0005,12.738797229950782,3.5691451679569974,2.7994030070754716,0.15209981453740787,0.6621687310184077
400,128,relu,"(64, 64)",0.3,True,0.0,0.0005,12.760852130114158,3.572233493224394,2.812417289046121,0.1532938043778757,0.66158383789428
300,128,elu,"(64, 64, 32)",0.2,True,0.0001,0.0001,12.77508826681653,3.5742255478378153,2.807434158805031,0.15221144229091335,0.6612062973745008
400,64,elu,"(64, 64)",0.2,True,0.001,0.0001,12.789124350237897,3.5761885227484718,2.8154006158280924,0.15345262330416312,0.6608340622420801
300,32,relu,"(64, 64)",0.2,False,0.0001,0.001,12.885401455221437,3.5896241384330807,2.8297128865303987,0.1556501389770826,0.6582808057639887
200,32,tanh,"(64, 64)",0.3,False,0.0001,0.0005,12.928595088422924,3.595635561124476,2.8377137382075475,0.1525558775354039,0.6571353161504108
400,128,selu,"(64, 64, 32)",0.1,False,0.0001,0.001,12.931737095414968,3.5960724541386773,2.849496363993711,0.15535208464581082,0.6570519905278963
300,64,tanh,"(64, 64)",0.2,False,0.0,0.0001,12.932623101640297,3.5961956428481887,2.8355231263102727,0.15414563478474194,0.6570284937564175
400,32,elu,"(64, 64, 32)",0.3,True,0.001,0.0001,12.954413976769276,3.599224079821827,2.839628373951782,0.15441711746867726,0.6564506025423447
300,64,selu,"(128, 64)",0.1,False,0.0001,0.001,12.976707642593224,3.602319758515785,2.831454115893606,0.15464223928247953,0.6558593773835166
