batch_size,activation,hidden_size,num_layers,dropout,learning_rate,epochs,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std
32,leaky_relu,384,3,0.1,0.0003,100,10.51522092819214,2.1025222930485707,3.225302758940635,0.3356233623603457,2.4424580097198487,0.26965073971557213,13.020320236682892,1.2224402371067111,0.7226486921310424,0.05309172685582806
32,leaky_relu,192,2,0.1,0.0007,100,9.566879177093506,1.9012947865959655,3.0775629608668784,0.30900711803095876,2.317257213592529,0.2694881093084514,12.57182314991951,1.1690746019347424,0.7472488164901734,0.05035708212839275
64,relu,256,3,0.1,0.0005,100,9.738951587677002,1.9831324626652926,3.1041615569220924,0.321142672661255,2.326714038848877,0.2709335321183911,12.573897242546082,1.1530757394333901,0.7427659034729004,0.05197826165286981
