Batch Size,Activation,Hidden Size,Num Layers,Dropout,Learning Rate,Epochs,MSE,RMSE,MAE,MAPE,R2
32,leaky_relu,192,2,0.1,0.0007,100,5.269974708557129,2.2956425480804126,1.6943538188934326,9.374012798070908,0.8602409362792969
32,leaky_relu,192,3,0.2,0.0007,100,5.291590690612793,2.3003457763155506,1.699498176574707,9.382262825965881,0.8596676588058472
64,leaky_relu,256,3,0.1,0.0003,100,5.298121929168701,2.301764959583993,1.7054710388183594,9.448109567165375,0.8594944477081299
64,leaky_relu,192,3,0.1,0.0007,100,5.299288272857666,2.3020183041969204,1.6979990005493164,9.379227459430695,0.8594635725021362
32,leaky_relu,192,2,0.1,0.0005,100,5.302547931671143,2.3027261955497753,1.6978414058685303,9.417442977428436,0.8593770861625671
32,relu,192,2,0.1,0.0005,100,5.3034515380859375,2.3029223908082392,1.6979161500930786,9.375536441802979,0.8593531250953674
32,relu,192,3,0.1,0.0007,100,5.335102081298828,2.3097839901815123,1.69447660446167,9.355372935533524,0.8585137724876404
32,leaky_relu,256,3,0.1,0.0007,100,5.346523761749268,2.312255124710348,1.6989399194717407,9.372759610414505,0.8582108616828918
32,relu,256,3,0.2,0.0007,100,5.363458633422852,2.3159142111535247,1.6954783201217651,9.369909018278122,0.8577617406845093
32,relu,256,3,0.1,0.0003,100,5.377837657928467,2.3190165281706094,1.7085908651351929,9.451311826705933,0.8573804497718811
64,leaky_relu,256,2,0.1,0.0007,100,5.39158821105957,2.321979373521559,1.7076622247695923,9.490152448415756,0.8570157289505005
32,relu,256,3,0.2,0.0005,100,5.392209053039551,2.322113057764318,1.713212251663208,9.460747241973877,0.8569992780685425
32,relu,192,2,0.1,0.0007,100,5.422804832458496,2.3286916568018396,1.7190475463867188,9.521788358688354,0.8561879396438599
32,relu,192,3,0.2,0.0007,100,5.430624961853027,2.3303701340887946,1.7179113626480103,9.459647536277771,0.8559805154800415
32,leaky_relu,256,3,0.1,0.0005,100,5.432366371154785,2.3307437377701534,1.72084641456604,9.48718711733818,0.8559343218803406
64,relu,256,3,0.2,0.0005,100,5.436542510986328,2.3316394470385697,1.7236744165420532,9.498406201601028,0.8558235764503479
32,relu,256,2,0.2,0.0007,100,5.436629772186279,2.3316581593763437,1.7119885683059692,9.483568370342255,0.8558212518692017
32,leaky_relu,256,2,0.1,0.0007,100,5.445302486419678,2.333517192227149,1.7261784076690674,9.531020373106003,0.8555912971496582
32,leaky_relu,256,3,0.2,0.0007,100,5.452331066131592,2.3350227121232874,1.7162854671478271,9.446758776903152,0.8554048538208008
64,relu,192,3,0.1,0.0007,100,5.452475547790527,2.3350536498741365,1.7228801250457764,9.545671939849854,0.8554010391235352
64,relu,192,2,0.1,0.0005,100,5.453874588012695,2.335353204124099,1.7257139682769775,9.578048437833786,0.8553639650344849
32,leaky_relu,192,3,0.1,0.0007,100,5.455550193786621,2.335711924400486,1.7203998565673828,9.529735893011093,0.8553194999694824
64,relu,256,2,0.1,0.0005,100,5.463649749755859,2.337445132993684,1.7271369695663452,9.56382155418396,0.8551046848297119
64,relu,192,2,0.1,0.0007,100,5.478901386260986,2.340705318116953,1.728981614112854,9.600505232810974,0.8547002077102661
32,leaky_relu,192,3,0.1,0.0005,100,5.488399982452393,2.3427334424668107,1.73558509349823,9.589353203773499,0.8544483184814453
64,leaky_relu,256,3,0.2,0.0007,100,5.49981689453125,2.345168841369689,1.7337188720703125,9.610476344823837,0.8541455268859863
64,relu,192,3,0.2,0.0007,100,5.502607345581055,2.34576370199154,1.74190354347229,9.596621245145798,0.8540715575218201
32,leaky_relu,256,3,0.2,0.0005,100,5.517202377319336,2.3488725757944673,1.7343248128890991,9.56617295742035,0.8536844849586487
32,relu,256,3,0.1,0.0007,100,5.52471923828125,2.3504721309305605,1.7318077087402344,9.596619009971619,0.8534851670265198
32,relu,256,2,0.1,0.0005,100,5.540011405944824,2.3537228821475193,1.7413815259933472,9.633318334817886,0.853079617023468
32,relu,256,2,0.1,0.0007,100,5.54480504989624,2.354740972993896,1.7409378290176392,9.64467078447342,0.8529524803161621
64,leaky_relu,256,3,0.2,0.0005,100,5.562081336975098,2.358406524960253,1.7490088939666748,9.688814729452133,0.8524942994117737
64,relu,256,3,0.1,0.0005,100,5.589047431945801,2.3641166282452737,1.7493689060211182,9.6519835293293,0.8517791628837585
32,relu,192,3,0.1,0.0005,100,5.598274230957031,2.366067249880491,1.7601064443588257,9.700706601142883,0.8515344858169556
64,relu,256,2,0.2,0.0003,100,5.6113996505737305,2.368839304506266,1.752807855606079,9.747587889432907,0.8511863946914673
64,leaky_relu,192,3,0.2,0.0007,100,5.626290798187256,2.3719803536680604,1.76418137550354,9.720233082771301,0.8507914543151855
64,relu,256,3,0.2,0.0007,100,5.639891147613525,2.374845499735409,1.7497766017913818,9.664462506771088,0.8504307866096497
64,relu,256,3,0.1,0.0007,100,5.647681713104248,2.37648515945382,1.7489558458328247,9.70728024840355,0.8502241969108582
64,leaky_relu,256,2,0.1,0.0003,100,5.648141860961914,2.3765819701752164,1.7619045972824097,9.778261184692383,0.8502119779586792
64,leaky_relu,256,3,0.1,0.0005,100,5.654923439025879,2.3780082924636488,1.7585618495941162,9.735448658466339,0.8500321507453918
64,relu,192,2,0.2,0.0005,100,5.688724517822266,2.3851047184185155,1.773250937461853,9.78875383734703,0.8491357564926147
32,leaky_relu,256,3,0.1,0.0003,100,5.6954216957092285,2.386508264328709,1.7657454013824463,9.72398817539215,0.8489581346511841
32,relu,192,3,0.2,0.0005,100,5.706014633178711,2.3887265714557433,1.7684916257858276,9.785592555999756,0.8486772179603577
32,leaky_relu,256,2,0.2,0.0005,100,5.714508056640625,2.3905037244565475,1.7581173181533813,9.755010157823563,0.8484519720077515
64,leaky_relu,256,3,0.1,0.0007,100,5.732554912567139,2.3942754462607554,1.7767245769500732,9.841453284025192,0.8479733467102051
64,relu,192,2,0.1,0.0003,100,5.735754013061523,2.3949434258582234,1.7796008586883545,9.86563116312027,0.8478885293006897
32,leaky_relu,256,2,0.1,0.0003,100,5.7781171798706055,2.403771449175359,1.7863852977752686,9.913677722215652,0.8467650413513184
32,leaky_relu,192,3,0.1,0.0003,100,5.802760601043701,2.4088919861720037,1.8017148971557617,9.942732006311417,0.846111536026001
64,leaky_relu,192,2,0.1,0.0003,100,5.811708927154541,2.4107486238001963,1.7883092164993286,9.991233050823212,0.8458741903305054
64,relu,192,2,0.2,0.0007,100,5.827113628387451,2.4139415130419897,1.7974218130111694,9.96723622083664,0.8454656600952148
32,leaky_relu,192,3,0.2,0.0005,100,5.8403544425964355,2.4166825283012323,1.8044159412384033,9.900379180908203,0.845114529132843
64,relu,256,2,0.2,0.0007,100,5.845691680908203,2.417786525090295,1.7964195013046265,9.959394484758377,0.8449729681015015
32,relu,192,2,0.2,0.0007,100,5.849987983703613,2.418674840424734,1.7947250604629517,9.994898736476898,0.8448590636253357
32,elu,256,3,0.1,0.0005,100,5.850902080535889,2.4188637995008913,1.7949720621109009,10.153073817491531,0.8448348045349121
64,relu,192,3,0.2,0.0005,100,5.862371444702148,2.42123345522528,1.797500491142273,9.896568953990936,0.8445306420326233
32,elu,256,2,0.1,0.0007,100,5.886973857879639,2.4263086897341894,1.808516263961792,10.288955271244049,0.8438782095909119
32,leaky_relu,256,2,0.2,0.0007,100,5.924050331115723,2.4339372077183343,1.7963255643844604,9.972433000802994,0.8428949117660522
32,relu,256,2,0.1,0.0003,100,5.938867568969727,2.4369791892771113,1.80812406539917,10.03139540553093,0.8425019979476929
64,elu,256,2,0.1,0.0007,100,5.939024925231934,2.4370114741691173,1.8068031072616577,10.232149064540863,0.8424978256225586
32,relu,256,3,0.1,0.0005,100,5.98178243637085,2.445768271192275,1.8166776895523071,10.066793859004974,0.8413639068603516
32,leaky_relu,192,2,0.1,0.0003,100,5.983470916748047,2.4461134308833774,1.8270608186721802,10.137046128511429,0.8413190841674805
64,relu,192,2,0.2,0.0003,100,5.987990856170654,2.4470371587229023,1.8294042348861694,10.11902317404747,0.8411992192268372
64,relu,256,2,0.1,0.0007,100,6.001616477966309,2.4498196827453054,1.8181205987930298,10.122387856245041,0.8408378958702087
64,elu,192,3,0.1,0.0005,100,6.042240142822266,2.4580968538327097,1.8371427059173584,10.454630851745605,0.8397605419158936
64,leaky_relu,192,2,0.1,0.0005,100,6.04490327835083,2.458638500949424,1.8328689336776733,10.277383029460907,0.8396899104118347
64,leaky_relu,256,2,0.2,0.0007,100,6.049437999725342,2.4595605297949756,1.8205057382583618,10.125572234392166,0.8395696878433228
64,leaky_relu,192,2,0.2,0.0007,100,6.07179069519043,2.4641003825312047,1.8185155391693115,10.17894595861435,0.8389768600463867
32,relu,192,2,0.2,0.0005,100,6.092957496643066,2.4683916821775,1.8359241485595703,10.142545402050018,0.8384155035018921
32,elu,256,2,0.1,0.0005,100,6.094257831573486,2.4686550653287886,1.8383451700210571,10.492738336324692,0.8383810520172119
64,relu,192,3,0.1,0.0005,100,6.121967315673828,2.4742609635351376,1.848611831665039,10.264629125595093,0.8376461863517761
64,elu,256,2,0.1,0.0005,100,6.137731075286865,2.4774444646221365,1.8491400480270386,10.477754473686218,0.8372281789779663
32,leaky_relu,256,2,0.1,0.0005,100,6.142436981201172,2.4783940326754283,1.846274971961975,10.298971086740494,0.8371033668518066
64,leaky_relu,256,2,0.2,0.0003,100,6.149046421051025,2.4797270860018097,1.8310861587524414,10.300423204898834,0.8369280695915222
32,leaky_relu,192,2,0.2,0.0005,100,6.168660640716553,2.483678852170013,1.8477281332015991,10.296566039323807,0.8364078998565674
32,leaky_relu,192,2,0.2,0.0003,100,6.174830913543701,2.4849207056853344,1.8474125862121582,10.22409051656723,0.8362442851066589
64,leaky_relu,192,2,0.1,0.0007,100,6.188786029815674,2.48772708105525,1.845819354057312,10.314566642045975,0.8358741998672485
64,leaky_relu,256,2,0.2,0.0005,100,6.206048011779785,2.4911940935583052,1.8458008766174316,10.364293307065964,0.8354163765907288
64,elu,256,3,0.1,0.0005,100,6.2276387214660645,2.495523736906957,1.8611500263214111,10.54164171218872,0.8348438143730164
64,relu,256,2,0.1,0.0003,100,6.238640785217285,2.4977271238502587,1.8532572984695435,10.333074629306793,0.8345520496368408
64,leaky_relu,256,2,0.1,0.0005,100,6.284116744995117,2.5068140627089033,1.8688427209854126,10.446083545684814,0.8333460092544556
64,leaky_relu,192,2,0.2,0.0005,100,6.2976531982421875,2.509512541957539,1.861793875694275,10.455302894115448,0.8329870700836182
32,relu,192,2,0.2,0.0003,100,6.324149131774902,2.514786100600785,1.8674062490463257,10.400363802909851,0.8322843909263611
32,elu,192,3,0.1,0.0005,100,6.334958076477051,2.516934261453217,1.8803457021713257,10.72150245308876,0.8319977521896362
64,relu,192,3,0.1,0.0003,100,6.348143100738525,2.5195521627341884,1.8774182796478271,10.301939398050308,0.831648051738739
32,relu,256,2,0.2,0.0005,100,6.393906593322754,2.5286175261044828,1.8684437274932861,10.41288897395134,0.8304344415664673
64,elu,192,3,0.1,0.0007,100,6.482770919799805,2.546128614151258,1.9003808498382568,10.869428515434265,0.8280777335166931
64,elu,256,2,0.1,0.0003,100,6.567184925079346,2.5626519320967773,1.9097546339035034,10.888409614562988,0.825839102268219
32,elu,192,3,0.1,0.0003,100,6.568087577819824,2.5628280429673436,1.9006856679916382,10.87392047047615,0.8258151412010193
64,elu,192,2,0.1,0.0007,100,6.568382740020752,2.562885627573098,1.913638710975647,10.964750498533249,0.8258073329925537
64,leaky_relu,192,3,0.2,0.0005,100,6.637248992919922,2.5762858911463846,1.9422504901885986,10.766004025936127,0.823980987071991
64,relu,256,2,0.2,0.0005,100,6.666345596313477,2.5819267217164543,1.9330484867095947,10.745231062173843,0.8232093453407288
32,leaky_relu,192,2,0.2,0.0007,100,6.7072248458862305,2.589831045818671,1.9405490159988403,10.702631622552872,0.822125256061554
32,relu,192,3,0.2,0.0003,100,6.7504563331604,2.598164031226743,1.9465610980987549,10.742632299661636,0.8209787607192993
32,elu,256,3,0.1,0.0007,100,6.830927848815918,2.613604378787256,1.9646605253219604,11.041001975536346,0.8188446760177612
32,relu,192,2,0.1,0.0003,100,6.83180046081543,2.613771309968688,1.9509985446929932,10.782483965158463,0.8188215494155884
64,relu,256,3,0.1,0.0003,100,6.846284866333008,2.6165406295972184,1.9559458494186401,10.705919563770294,0.818437397480011
32,relu,192,3,0.1,0.0003,100,6.867568492889404,2.6206046044547437,1.9742926359176636,10.840140283107758,0.817872941493988
32,leaky_relu,256,2,0.2,0.0003,100,6.900760173797607,2.626929799937107,1.956000804901123,10.888190567493439,0.8169927000999451
32,elu,256,2,0.1,0.0003,100,6.961026668548584,2.63837576333406,1.977538824081421,11.174051463603973,0.8153944611549377
64,leaky_relu,192,3,0.1,0.0005,100,6.968673229217529,2.6398244693951773,2.0085489749908447,11.188707500696182,0.8151916861534119
64,leaky_relu,192,3,0.1,0.0003,100,7.038586616516113,2.6530334744431916,1.9863766431808472,10.969511419534683,0.8133375644683838
32,elu,192,2,0.1,0.0005,100,7.040291786193848,2.6533548172443595,1.9898123741149902,11.294908821582794,0.813292384147644
32,relu,256,2,0.2,0.0003,100,7.09110164642334,2.6629122491031016,1.9855297803878784,10.988749563694,0.8119449019432068
64,relu,256,3,0.2,0.0003,100,7.249061107635498,2.6924080499871295,2.0419819355010986,11.18297204375267,0.8077558279037476
32,relu,256,3,0.2,0.0003,100,7.329124927520752,2.7072356616151376,2.0437188148498535,11.247966438531876,0.8056325316429138
64,elu,256,3,0.1,0.0003,100,7.39548921585083,2.7194648767452083,2.0395381450653076,11.545149981975555,0.8038725852966309
32,leaky_relu,192,3,0.2,0.0003,100,7.477784633636475,2.734553827160196,2.0654988288879395,11.3651841878891,0.8016901016235352
32,leaky_relu,256,3,0.2,0.0003,100,7.543092727661133,2.7464691383048767,2.06339955329895,11.362630128860474,0.7999581098556519
64,elu,256,3,0.1,0.0007,100,7.5957512855529785,2.7560390573344526,2.075530767440796,11.698838323354721,0.7985616326332092
64,leaky_relu,256,3,0.2,0.0003,100,7.615591526031494,2.7596361220333914,2.0810554027557373,11.4743173122406,0.7980355024337769
32,elu,192,3,0.1,0.0007,100,7.637121200561523,2.7635341866098786,2.0917739868164062,11.789314448833466,0.7974644899368286
32,elu,192,2,0.1,0.0007,100,7.773677825927734,2.7881316012569664,2.095780611038208,11.896797269582748,0.7938430309295654
64,relu,192,3,0.2,0.0003,100,7.774386405944824,2.7882586691239433,2.115025520324707,11.627008020877838,0.7938242554664612
64,leaky_relu,192,3,0.2,0.0003,100,7.7800822257995605,2.789279875846015,2.1058905124664307,11.613648384809494,0.7936732172966003
