Neighbors,Weights,Leaf_Size,P,MSE,RMSE,MAE,MAPE,R²
3,distance,10,2,10.275216978343298,3.205497929861022,2.4184651425287247,0.13211362433119278,0.7275025633743971
3,distance,40,2,10.288242789556096,3.207529078520738,2.4198511698573606,0.1321796248069,0.7271571205313956
3,distance,30,2,10.288242789556096,3.207529078520738,2.4198511698573606,0.1321796248069,0.7271571205313956
3,distance,50,2,10.288242789556096,3.207529078520738,2.4198511698573606,0.1321796248069,0.7271571205313956
3,distance,20,2,10.295137389349375,3.2086036510216362,2.4208458923878835,0.13224808382786873,0.7269742766290053
15,distance,10,1,10.32180930498295,3.2127572745202757,2.4838863278742065,0.13806510428022037,0.7262669408466698
15,distance,40,1,10.322078318569996,3.2127991407135923,2.483863090695623,0.13806476239845084,0.7262598066408381
15,distance,50,1,10.322078318569996,3.2127991407135923,2.483863090695623,0.13806476239845084,0.7262598066408381
15,distance,30,1,10.322078318569996,3.2127991407135923,2.483863090695623,0.13806476239845084,0.7262598066408381
15,distance,20,1,10.324482062518818,3.213173207674746,2.4843552326348517,0.13809929464858717,0.7261960596595589
10,distance,40,2,10.383272344473102,3.2223085427179536,2.4781813170753058,0.13691959337864584,0.7246369489210895
10,distance,50,2,10.383272344473102,3.2223085427179536,2.4781813170753058,0.13691959337864584,0.7246369489210895
10,distance,30,2,10.383272344473102,3.2223085427179536,2.4781813170753058,0.13691959337864584,0.7246369489210895
10,distance,20,2,10.38590999332961,3.2227177961046496,2.478074905023481,0.1369054910837244,0.7245669988116532
10,distance,10,2,10.3905222105548,3.2234332955026073,2.478652797132725,0.13695266165607736,0.7244446834022877
20,distance,20,1,10.511916713824174,3.242208616641467,2.5186929595780474,0.14066390591257036,0.72122531674258
20,distance,30,1,10.512341414952239,3.242274111630946,2.5186095347180086,0.14066036439619412,0.7212140537231251
20,distance,40,1,10.512341414952239,3.242274111630946,2.5186095347180086,0.14066036439619412,0.7212140537231251
20,distance,50,1,10.512341414952239,3.242274111630946,2.5186095347180086,0.14066036439619412,0.7212140537231251
20,distance,10,1,10.514298285390016,3.242575871955815,2.518857428626347,0.14067950240386062,0.721162157770054
15,distance,30,2,10.541229487947824,3.246725964405962,2.514057716511042,0.13961966314276883,0.7204479457317374
15,distance,40,2,10.541229487947824,3.246725964405962,2.514057716511042,0.13961966314276883,0.7204479457317374
15,distance,50,2,10.541229487947824,3.246725964405962,2.514057716511042,0.13961966314276883,0.7204479457317374
15,distance,10,2,10.543533674328247,3.247080792701076,2.5141270433800695,0.13962224161611228,0.7203868390044055
15,distance,20,2,10.544524326255514,3.2472333341254545,2.5143314423963834,0.13963047303748533,0.7203605670423303
3,uniform,10,1,10.676771197297926,3.2675328915403323,2.4844951083158633,0.135439524673904,0.7168533969809323
3,uniform,50,1,10.700308059631961,3.271132534709036,2.4860062893081762,0.13555145232229837,0.7162292024100778
3,uniform,40,1,10.700308059631961,3.271132534709036,2.4860062893081762,0.13555145232229837,0.7162292024100778
3,uniform,30,1,10.700308059631961,3.271132534709036,2.4860062893081762,0.13555145232229837,0.7162292024100778
