Feature,Importance
DayOfYear,0.4035522318536493
Time,0.33959576373030154
Temperature_merra_1000hpa,0.10379885830365
H,0.037761878705989765
Y,0.03727224047627887
X,0.03509696582742022
TWI,0.014825365932474827
Aspect,0.009251161270398083
Hillshade,0.007582255222816559
Slope,0.006907359447164368
Roughness,0.004355919229856266
