DayOfYear,count,mean,std,min,25%,50%,75%,max
208,139.0,23.739568345323743,4.016318501448519,18.1,21.05,22.0,25.25,31.8
209,128.0,23.81796875,3.505393675168794,18.5,21.475,22.8,24.525,31.8
210,194.0,23.751546391752573,2.899691368321017,18.2,21.6,23.85,25.675,31.6
211,212.0,20.640094339622646,3.2965652080844148,14.3,17.7,20.0,23.225,28.8
212,212.0,21.33349056603774,5.226433097637546,13.4,16.3,20.75,26.05,31.2
213,210.0,22.085238095238093,5.809719721679767,12.0,16.375,21.7,27.8,31.4
214,200.0,23.004499999999997,4.864198999788941,15.1,18.675,22.0,27.5,31.8
215,211.0,23.481516587677728,4.32943299635895,14.9,19.45,22.8,27.6,31.6
216,182.0,24.30604395604396,5.3073613797947425,15.9,19.6,21.95,30.075000000000003,31.8
217,147.0,23.808163265306124,4.435697505096973,17.7,20.45,22.1,29.4,31.7
218,167.0,24.823952095808384,4.204776537775952,17.5,21.299999999999997,24.0,29.45,31.8
219,197.0,25.084263959390864,4.56734260381047,15.8,21.0,24.4,29.6,31.8
220,186.0,24.532258064516128,5.123790009628854,15.4,20.225,23.200000000000003,29.7,31.8
221,199.0,24.509045226130656,4.641644887927235,13.6,20.05,23.5,28.9,31.6
222,209.0,24.732057416267942,5.219497109263554,14.3,19.8,24.1,29.7,31.6
223,189.0,24.65291005291005,5.347971826474042,13.8,19.9,23.1,30.2,31.8
224,190.0,24.704736842105262,4.475427168782877,14.2,20.9,24.25,28.9,31.8
225,187.0,24.035828877005347,4.232700367456574,13.3,21.05,23.7,27.25,31.8
226,195.0,23.33794871794872,4.448988753097905,12.7,19.75,23.8,26.7,31.5
227,206.0,23.345145631067965,4.948313408470025,13.8,18.474999999999998,24.3,27.9,31.7
228,212.0,22.658962264150944,4.398024638283465,14.6,19.175,22.799999999999997,26.8,30.4
229,211.0,22.721327014218005,4.667064963497386,14.4,18.6,21.5,27.1,31.6
230,148.0,22.98310810810811,5.12577040519145,17.1,19.175,20.75,29.525,31.8
231,144.0,22.342361111111114,5.038600369831754,14.4,18.775,20.9,26.924999999999997,31.7
232,184.0,23.772282608695654,4.7592237974977145,16.3,19.575000000000003,22.85,28.3,31.6
233,194.0,21.81752577319588,4.527704248687297,13.0,18.4,20.45,24.6,31.8
234,212.0,18.96320754716981,3.4088211599900413,11.5,16.7,18.4,20.650000000000002,30.4
235,195.0,18.177948717948716,3.871489217374006,11.4,14.9,18.1,21.85,25.5
236,206.0,17.15970873786408,3.6948715826552783,11.3,14.0,16.25,20.6,25.4
237,201.0,15.880597014925373,2.8868619020990676,11.3,13.5,15.6,17.9,23.8
238,140.0,17.26142857142857,3.0047105874419446,11.3,15.675,18.25,19.55,21.9
239,169.0,17.244970414201184,3.957390783659817,11.3,13.2,17.4,20.7,26.3
240,178.0,16.009550561797752,2.8173130646431046,11.4,13.9,15.649999999999999,17.675,22.6
241,117.0,18.028205128205133,2.2764478588606867,11.3,17.5,18.5,19.3,22.6
242,140.0,18.965714285714288,3.717715153282393,11.4,18.299999999999997,20.25,21.675,23.8
243,152.0,19.588815789473685,4.778851719181213,11.4,14.225000000000001,21.3,23.2,26.3
